ID,Hurricane Name,Formation Date,Latitude Formed,Longitude Formed,Maximum Winds,Minimum Pressure
AL041980,['              ALLEN'],19800801,10.8N,34.3W,165,899
AL252005,['              WILMA'],20051015,17.6N,78.5W,160,882
AL031935,['            UNNAMED'],19350903,24.6N,80.5W,160,892
AL081988,['            GILBERT'],19880908,12.0N,54.0W,160,888
AL182005,['               RITA'],20050918,21.3N,69.9W,155,895
AL131998,['              MITCH'],19981022,11.6N,76.1W,155,905
AL041992,['             ANDREW'],19920816,10.8N,35.5W,150,922
AL091979,['              DAVID'],19790825,11.7N,36.1W,150,924
AL122005,['            KATRINA'],20050823,23.1N,75.1W,150,902
AL031961,['              CARLA'],19610904,13.7N,79.5W,150,931
AL042007,['               DEAN'],20070813,12.2N,28.9W,150,905
AL062007,['              FELIX'],20070831,11.5N,56.6W,150,929
AL101955,['              JANET'],19550922,13.0N,58.9W,150,914
AL091969,['            CAMILLE'],19690815,19.5N,82.7W,150,900
AL051977,['              ANITA'],19770829,26.9N,88.4W,150,926
AL132003,['             ISABEL'],20030906,13.8N,31.4W,145,915
AL101924,['            UNNAMED'],19241019,22.4N,84.4W,145,910
AL092004,['               IVAN'],20040902,9.7N,27.6W,145,910
AL041953,['              CAROL'],19530902,15.7N,52.7W,140,929
AL131971,['              EDITH'],19710905,11.4N,58.0W,140,943
AL131967,['             BEULAH'],19670905,13.9N,57.8W,140,923
AL041928,['            UNNAMED'],19280912,16.2N,61.5W,140,929
AL052005,['              EMILY'],20050711,10.7N,42.4W,140,929
AL091961,['             HATTIE'],19611028,12.8N,81.7W,140,920
AL111989,['               HUGO'],19890910,13.2N,20.0W,140,918
AL141933,['            UNNAMED'],19330921,18.4N,82.8W,140,929
AL081999,['              FLOYD'],19990907,14.6N,45.6W,135,921
AL021930,['            UNNAMED'],19300903,18.4N,70.0W,135,933
AL031965,['              BETSY'],19650827,11.6N,54.5W,135,941
AL071998,['            GEORGES'],19980915,9.7N,25.1W,135,937
AL072008,['             GUSTAV'],20080825,13.5N,67.4W,135,941
AL161999,['              LENNY'],19991113,16.7N,81.6W,135,933
