ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
AL011852,            UNNAMED,18520826,600, L, HU,30.2N,88.6W,100,961,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031853,            UNNAMED,18530903,1200,  , HU,19.7N,56.2W,130,924,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031854,            UNNAMED,18540907,1200,  , HU,28.0N,78.6W,110,938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031854,            UNNAMED,18540908,1800,  , HU,31.6N,81.1W,100,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031854,            UNNAMED,18540908,2000, L, HU,31.7N,81.1W,100,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041855,            UNNAMED,18550827,0,  , TS,18.4N,69.5W,50,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011856,            UNNAMED,18560810,1800, L, HU,29.2N,91.1W,130,934,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051856,            UNNAMED,18560828,600,  , HU,23.0N,82.9W,90,969,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021857,            UNNAMED,18570912,1800,  , HU,33.3N,78.3W,90,961,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031858,            UNNAMED,18580916,1800, L, HU,41.4N,72.0W,70,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061859,            UNNAMED,18591006,1200,  , HU,42.5N,64.0W,110,938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081859,            UNNAMED,18591029,0,  , HU,29.2N,79.2W,70,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,            UNNAMED,18611103,1200,  , TS,42.0N,71.5W,50,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,            UNNAMED,18611103,1800,  , TS,44.0N,70.0W,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031863,            UNNAMED,18630822,1200,  , HU,41.0N,67.8W,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
