,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
17941,AL031935,UNNAMED,19350903,0,  , HU,24.6,80.5,160,892,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
17942,AL031935,UNNAMED,19350903,200, L, HU,24.8,80.8,160,892,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
17950,AL031935,UNNAMED,19350904,2200, L, HU,29.6,83.4,85,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
17956,AL031935,UNNAMED,19350906,600,  , TS,36.1,78,50,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25937,AL031961,CARLA,19610904,600,  , TD,13.7,79.5,25,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25938,AL031961,CARLA,19610904,1200,  , TD,14.2,80.1,25,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25939,AL031961,CARLA,19610904,1800,  , TD,14.9,80.7,25,1005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25940,AL031961,CARLA,19610905,0,  , TD,15.5,81.4,30,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25941,AL031961,CARLA,19610905,600,  , TD,15.9,82.1,30,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25942,AL031961,CARLA,19610905,1200,  , TS,16.3,82.7,40,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25943,AL031961,CARLA,19610905,1800,  , TS,16.9,83.1,45,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25944,AL031961,CARLA,19610906,0,  , TS,17.4,83.6,50,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25945,AL031961,CARLA,19610906,600,  , TS,18.1,84.3,55,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25946,AL031961,CARLA,19610906,1200,  , HU,18.8,85.1,65,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25947,AL031961,CARLA,19610906,1800,  , HU,19.1,85.6,70,981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25948,AL031961,CARLA,19610907,0,  , HU,19.5,85.9,75,978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25949,AL031961,CARLA,19610907,600,  , HU,20.2,86,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25950,AL031961,CARLA,19610907,1200,  , HU,20.9,86,85,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25951,AL031961,CARLA,19610907,1800,  , HU,21.7,86.3,95,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25952,AL031961,CARLA,19610908,0,  , HU,22.3,87.3,100,968,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25953,AL031961,CARLA,19610908,600,  , HU,22.8,87.8,105,966,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
