ID,Hurricane,Date,Latitude Formed,Longitude Formed,max_winds,min_pressure
AL041980,ALLEN,8/1/1980,10.8N,34.3W,165,899
AL252005,WILMA,10/15/2005,17.6N,78.5W,160,882
AL031935,UNNAMED,9/3/1935,24.6N,80.5W,160,892
AL081988,GILBERT,9/8/1988,12.0N,54.0W,160,888
AL182005,RITA,9/18/2005,21.3N,69.9W,155,895
AL131998,MITCH,10/22/1998,11.6N,76.1W,155,905
AL041992,ANDREW,8/16/1992,10.8N,35.5W,150,922
AL091979,DAVID,8/25/1979,11.7N,36.1W,150,924
AL122005,KATRINA,8/23/2005,23.1N,75.1W,150,902
AL031961,CARLA,9/4/1961,13.7N,79.5W,150,931
